time,ivy_company_type,country,projects_with_timelines,non_default_timelines,milestones,phases,share_to_clients
2022-12-26,Builders,International,12,6,5,26,0
2022-12-26,Builders,US,70,4,5,15,1
2022-12-26,Designers,International,6,0,0,0,0
2022-12-26,Designers,US,28,1,1,0,0
2022-12-26,Others,International,5,0,0,0,0
2022-12-26,Others,US,12,1,2,0,0
2022-12-26,Snail Cage,International,1,0,0,0,0
2022-12-26,Snail Cage,US,15,0,0,0,0
2023-01-02,Builders,International,153,17,28,74,6
2023-01-02,Builders,US,1,1,0,1,0
2023-01-02,Builders,US,1214,90,105,357,25
2023-01-02,Designers,International,244,24,12,85,5
2023-01-02,Designers,US,525,40,58,32,4
2023-01-02,Others,International,88,5,8,10,1
2023-01-02,Others,US,261,15,12,49,7
2023-01-02,Snail Cage,International,76,2,4,1,0
2023-01-02,Snail Cage,US,1,1,0,4,0
2023-01-02,Snail Cage,US,550,19,29,58,8
2023-01-09,Builders,International,183,32,51,69,10
2023-01-09,Builders,US,3,3,6,21,3
2023-01-09,Builders,US,1516,132,165,516,52
2023-01-09,Designers,International,300,16,17,21,3
2023-01-09,Designers,US,528,48,100,106,13
2023-01-09,Designers,US,1,1,2,3,1
2023-01-09,Others,International,196,9,2,28,3
2023-01-09,Others,US,352,17,9,55,3
2023-01-09,Snail Cage,International,62,2,0,6,0
2023-01-09,Snail Cage,US,633,26,51,42,11
2023-01-16,Builders,International,1,1,0,5,0
2023-01-16,Builders,International,208,28,28,110,8
2023-01-16,Builders,US,1,1,0,1,1
2023-01-16,Builders,US,1541,171,235,562,49
2023-01-16,Designers,International,219,14,16,21,3
2023-01-16,Designers,US,614,47,46,81,8
2023-01-16,Others,International,163,9,16,65,1
2023-01-16,Others,US,348,8,12,25,2
2023-01-16,Snail Cage,International,63,3,13,24,3
2023-01-16,Snail Cage,US,630,20,26,41,5
2023-01-23,Builders,International,1,1,0,2,0
2023-01-23,Builders,International,179,32,18,98,7
2023-01-23,Builders,US,1465,126,123,412,35
2023-01-23,Designers,International,244,29,25,122,12
2023-01-23,Designers,US,610,57,69,94,6
2023-01-23,Others,International,115,12,12,31,5
2023-01-23,Others,US,339,12,4,19,7
2023-01-23,Snail Cage,International,1,1,0,2,0
2023-01-23,Snail Cage,International,73,2,8,3,2
2023-01-23,Snail Cage,US,769,28,55,121,11
2023-01-23,Snail Cage,US,1,1,0,3,0
2023-01-30,Builders,International,224,33,30,85,6
2023-01-30,Builders,US,3,3,17,10,1
2023-01-30,Builders,US,2099,167,223,543,39
2023-01-30,Designers,International,1,1,0,3,1
2023-01-30,Designers,International,234,24,20,69,9
2023-01-30,Designers,US,707,44,61,55,3
2023-01-30,Others,International,143,8,2,31,3
2023-01-30,Others,US,388,15,9,36,4
2023-01-30,Snail Cage,International,68,3,2,5,1
2023-01-30,Snail Cage,US,679,20,30,67,6
2023-02-06,Builders,International,271,28,20,103,9
2023-02-06,Builders,US,1,1,0,2,0
2023-02-06,Builders,US,1697,153,144,484,45
2023-02-06,Designers,International,204,16,9,35,6
2023-02-06,Designers,US,692,55,43,158,7
2023-02-06,Others,International,164,10,18,41,2
2023-02-06,Others,US,374,17,12,50,7
2023-02-06,Snail Cage,International,88,7,6,19,3
2023-02-06,Snail Cage,US,723,18,29,52,4
2023-02-13,Builders,International,3,3,0,5,0
2023-02-13,Builders,International,244,27,52,173,6
2023-02-13,Builders,US,4,4,4,10,2
2023-02-13,Builders,US,1876,152,198,789,45
2023-02-13,Designers,International,221,27,24,99,8
2023-02-13,Designers,US,711,69,83,165,7
2023-02-13,Others,International,135,7,5,34,5
2023-02-13,Others,US,400,10,2,38,3
2023-02-13,Snail Cage,International,88,3,4,19,2
2023-02-13,Snail Cage,US,712,26,46,93,9
2023-02-13,Snail Cage,US,1,1,0,3,1
2023-02-20,Builders,International,260,31,30,166,9
2023-02-20,Builders,US,4,4,2,5,3
2023-02-20,Builders,US,1888,153,262,528,45
2023-02-20,Designers,International,1,1,0,5,0
2023-02-20,Designers,International,246,19,15,78,3
2023-02-20,Designers,US,640,44,60,275,7
2023-02-20,Others,International,114,1,0,2,0
2023-02-20,Others,US,469,19,8,61,2
2023-02-20,Snail Cage,International,1,1,0,1,0
2023-02-20,Snail Cage,International,95,4,16,3,2
2023-02-20,Snail Cage,US,698,22,17,102,8
2023-02-27,Builders,International,1,1,0,20,1
2023-02-27,Builders,International,223,26,10,135,7
2023-02-27,Builders,US,6,6,6,39,3
2023-02-27,Builders,US,2250,163,186,699,36
2023-02-27,Designers,International,216,14,9,89,3
2023-02-27,Designers,US,1,1,0,1,1
2023-02-27,Designers,US,803,64,65,154,12
2023-02-27,Others,International,154,6,4,8,2
2023-02-27,Others,US,484,9,5,14,2
2023-02-27,Others,US,1,1,1,0,0
2023-02-27,Snail Cage,International,91,4,3,10,2
2023-02-27,Snail Cage,US,756,26,22,124,9
2023-02-27,Snail Cage,US,1,1,0,5,0
2023-03-06,Builders,International,234,29,29,169,8
2023-03-06,Builders,US,2,2,0,4,1
2023-03-06,Builders,US,2273,161,189,406,38
2023-03-06,Designers,International,262,19,13,52,8
2023-03-06,Designers,International,1,1,0,1,1
2023-03-06,Designers,US,693,47,67,102,12
2023-03-06,Others,International,138,11,17,67,4
2023-03-06,Others,US,433,13,8,36,4
2023-03-06,Snail Cage,International,1,1,0,1,0
2023-03-06,Snail Cage,International,97,2,2,2,0
2023-03-06,Snail Cage,US,696,19,32,41,3
2023-03-13,Builders,International,3,3,0,6,0
2023-03-13,Builders,International,218,30,72,98,4
2023-03-13,Builders,US,2139,163,213,548,42
2023-03-13,Builders,US,4,4,0,10,0
2023-03-13,Designers,International,202,22,14,58,5
